Source,Target
240,15348
241,15341
242,15341
243,15341
244,15341
244,15342
245,15342
246,15342
246,15341
247,15342
248,15341
249,15342
250,15342
251,15341
252,15354
252,15345
253,15358
254,15357
255,15358
256,15358
257,15375
257,15358
258,15361
259,15358
260,15358
5527,15358
262,15358
263,15358
264,15358
265,15375
266,15357
267,15358
268,15358
269,15358
270,15358
271,15358
272,15358
273,15358
274,15358
275,15358
276,15358
277,15358
278,15358
279,15360
280,15360
281,15362
282,15359
283,15360
284,15360
285,15357
286,15376
287,15360
288,15377
288,15378
289,15359
290,15357
291,15360
292,15360
293,15357
294,15379
295,15360
296,15363
296,15345
297,15357
297,15363
298,15363
10078,15345
300,15345
301,15357
302,15358
303,15345
304,15342
305,15342
306,15341
307,15341
308,15342
15180,15341
310,15341
311,15341
311,15380
312,15348
313,15357
313,15381
314,15342
314,15382
315,15359
315,15352
316,15348
316,15350
317,15341
317,15349
318,15342
319,15347
319,15342
320,15341
320,15350
321,15341
321,15342
322,15341
322,15342
323,15341
323,15350
324,15342
324,15349
325,15341
325,15350
326,15381
326,15342
14407,15383
14407,15350
328,15342
328,15341
329,15342
329,15341
330,15341
330,15384
331,15342
331,15354
332,15349
332,15366
333,15352
333,15342
334,15341
334,15350
335,15341
336,15341
336,15356
337,15348
337,15356
338,15342
338,15368
339,15341
339,15346
340,15385
340,15350
341,15348
341,15350
342,15341
342,15355
343,15342
343,15349
344,15348
2454,15341
2454,15385
346,15342
346,15341
14261,15342
348,15349
348,15365
349,15349
349,15341
350,15341
350,15343
351,15348
351,15355
352,15342
352,15355
353,15346
353,15345
354,15357
354,15349
355,15348
356,15342
356,15355
357,15342
357,15341
358,15355
358,15346
9728,15346
360,15356
360,15384
361,15342
361,15386
362,15348
362,15345
363,15345
364,15342
364,15352
365,15342
365,15355
366,15344
367,15348
367,15355
368,15342
368,15349
369,15355
369,15348
370,15344
370,15355
371,15348
371,15355
372,15348
372,15345
373,15366
373,15365
374,15348
374,15356
375,15341
375,15350
376,15354
376,15351
377,15352
377,15350
9012,15348
9012,15346
379,15342
379,15350
380,15342
380,15359
381,15352
381,15342
382,15341
382,15349
383,15341
383,15350
384,15342
385,15346
385,15368
386,15341
386,15355
387,15344
388,15355
388,15345
389,15346
389,15350
390,15341
390,15342
391,15341
391,15350
392,15342
392,15341
393,15345
393,15342
394,15342
394,15354
395,15346
395,15341
396,15341
396,15350
397,15355
397,15349
398,15342
398,15385
399,15341
400,15346
400,15341
401,15348
401,15345
402,15342
402,15341
403,15342
404,15342
404,15341
405,15342
405,15350
406,15342
12418,15342
12418,15368
408,15355
408,15350
409,15346
409,15349
410,15342
410,15341
411,15341
411,15342
12954,15358
12954,15361
8943,15342
8943,15341
414,15345
414,15342
415,15342
415,15350
416,15341
416,15350
417,15341
417,15342
418,15356
418,15355
419,15344
420,15348
420,15345
14407,15344
422,15346
422,15350
423,15341
423,15342
424,15350
424,15342
425,15346
425,15350
426,15341
426,15356
427,15355
428,15346
428,15355
429,15346
11900,15341
11900,15349
431,15342
431,15341
432,15346
432,15349
433,15342
433,15355
434,15355
434,15385
435,15341
435,15368
436,15342
436,15349
437,15346
437,15355
438,15348
439,15348
439,15342
440,15348
440,15352
441,15342
441,15350
442,15341
442,15342
443,15341
443,15342
444,15344
444,15350
445,15348
446,15344
446,15356
447,15348
447,15349
448,15347
448,15342
449,15342
449,15355
450,15348
450,15350
451,15345
451,15355
452,15359
453,15342
453,15350
454,15342
454,15355
455,15342
455,15341
456,15359
456,15342
457,15357
457,15352
458,15342
458,15350
459,15342
459,15341
460,15342
460,15341
461,15342
461,15355
462,15342
462,15341
463,15342
463,15348
464,15341
464,15355
465,15342
465,15341
466,15341
466,15342
467,15348
468,15346
468,15350
469,15341
469,15342
470,15355
470,15342
471,15350
471,15343
472,15341
472,15350
473,15341
473,15365
1954,15348
1954,15355
475,15344
475,15352
476,15342
477,15349
477,15355
478,15346
478,15348
479,15342
479,15385
480,15342
480,15355
481,15341
481,15355
482,15345
482,15348
483,15341
483,15355
484,15355
484,15341
485,15341
485,15385
486,15346
486,15385
487,15342
487,15349
488,15341
488,15350
489,15341
489,15342
490,15344
490,15356
491,15362
492,15346
492,15350
493,15358
494,15341
494,15355
495,15342
495,15350
496,15341
1448,15344
498,15342
498,15355
499,15344
499,15355
500,15342
500,15355
501,15342
501,15348
502,15341
502,15387
503,15344
503,15349
504,15341
504,15355
505,15351
505,15342
506,15346
507,15344
507,15342
508,15348
508,15350
509,15342
509,15350
510,15388
510,15341
511,15342
511,15355
512,15342
513,15342
513,15345
514,15355
514,15344
515,15358
516,15341
516,15345
517,15342
517,15344
518,15346
519,15355
519,15385
520,15341
521,15342
522,15358
522,15342
523,15342
523,15349
524,15342
524,15341
525,15345
525,15348
526,15342
526,15341
2481,15341
2481,15348
528,15348
529,15344
530,15342
531,15348
531,15342
532,15348
532,15342
533,15355
533,15356
9324,15346
9324,15341
535,15362
535,15342
536,15341
536,15342
537,15346
537,15341
538,15348
538,15355
539,15342
539,15355
540,15342
540,15350
541,15342
541,15341
542,15354
542,15341
543,15349
543,15342
544,15341
545,15341
545,15352
546,15342
547,15342
547,15349
548,15348
548,15349
549,15365
549,15342
550,15341
550,15350
551,15359
551,15341
552,15342
552,15350
553,15358
553,15343
554,15342
554,15341
555,15344
555,15354
556,15342
556,15355
557,15349
557,15350
558,15344
558,15350
559,15341
559,15342
560,15344
561,15342
562,15342
562,15349
563,15342
563,15349
564,15341
564,15342
565,15342
565,15349
566,15352
566,15342
567,15342
567,15354
568,15341
568,15350
569,15341
569,15350
570,15352
570,15349
571,15359
571,15356
572,15342
572,15352
573,15342
574,15342
574,15349
575,15350
575,15376
576,15342
576,15344
577,15342
577,15389
578,15341
578,15390
579,15355
579,15341
580,15348
581,15342
581,15341
582,15346
583,15348
583,15342
584,15342
809,15342
586,15342
586,15348
587,15346
588,15342
588,15349
589,15391
590,15341
590,15346
591,15348
591,15342
592,15354
592,15349
593,15342
593,15346
594,15346
594,15341
595,15357
596,15359
597,15341
597,15350
598,15365
598,15368
599,15342
599,15341
600,15368
600,15342
601,15342
601,15341
602,15388
603,15341
603,15352
604,15342
604,15350
605,15342
606,15341
607,15342
608,15342
609,15342
610,15342
611,15342
612,15341
612,15352
613,15341
614,15358
614,15351
615,15342
615,15344
616,15341
616,15349
617,15342
618,15341
619,15341
620,15358
621,15348
622,15342
622,15348
623,15342
624,15342
625,15341
626,15342
627,15342
628,15342
628,15392
629,15341
629,15342
630,15342
631,15341
632,15358
633,15341
634,15341
635,15341
14938,15342
14938,15352
637,15342
638,15393
639,15342
640,15342
641,15342
642,15342
643,15342
644,15351
645,15341
646,15341
647,15342
647,15351
648,15358
649,15342
650,15341
651,15342
651,15359
652,15341
653,15354
654,15341
654,15342
655,15358
656,15342
657,15341
658,15342
659,15342
659,15341
660,15345
660,15342
12862,15358
12862,15361
662,15342
663,15341
6365,15342
665,15342
666,15342
667,15342
668,15342
668,15341
669,15341
670,15341
671,15358
672,15341
672,15350
673,15345
673,15355
674,15342
674,15356
675,15342
676,15355
676,15341
677,15341
677,15342
678,15342
679,15341
680,15356
680,15341
681,15342
682,15342
683,15342
684,15357
685,15357
686,15357
687,15360
8533,15394
689,15359
690,15395
691,15396
692,15394
693,15371
694,15341
694,15371
695,15345
696,15345
696,15371
697,15351
697,15371
698,15371
698,15345
699,15371
699,15374
700,15371
701,15365
702,15371
703,15371
703,15374
704,15371
704,15341
705,15341
705,15391
706,15371
706,15345
707,15371
707,15365
708,15341
708,15371
709,15371
709,15341
710,15371
710,15345
711,15371
711,15345
712,15371
713,15342
714,15342
6365,15357
716,15354
717,15346
718,15380
14199,15397
720,15398
721,15341
722,15358
723,15399
723,15345
724,15345
724,15400
14382,15353
726,15341
12899,15345
728,15401
729,15342
730,15341
730,15352
731,15341
731,15342
732,15341
733,15342
734,15342
735,15342
735,15341
736,15342
736,15341
737,15342
737,15341
738,15354
739,15358
740,15354
741,15362
742,15357
743,15358
744,15358
745,15361
746,15357
747,15358
748,15358
749,15362
750,15358
751,15358
752,15358
753,15358
754,15345
755,15358
756,15358
757,15358
758,15358
758,15361
759,15354
760,15343
761,15368
762,15341
762,15372
763,15358
764,15342
764,15341
765,15342
766,15358
767,15368
768,15358
769,15362
770,15358
771,15358
772,15362
773,15376
8988,15357
775,15373
7306,15402
777,15403
778,15373
779,15359
8066,15378
781,15357
8065,15404
783,15373
784,15373
785,15373
786,15350
786,15391
787,15346
788,15341
789,15342
790,15342
791,15348
791,15405
792,15346
793,15355
794,15358
795,15354
795,15346
796,15359
797,15351
798,15346
798,15341
799,15346
800,15406
800,15341
801,15346
801,15368
802,15376
803,15342
804,15341
8988,15346
806,15366
806,15341
807,15406
807,15355
808,15341
809,15342
810,15406
810,15341
811,15347
811,15346
812,15346
813,15342
814,15347
815,15362
816,15346
816,15354
817,15342
818,15348
819,15342
820,15342
821,15342
821,15354
822,15344
823,15341
823,15350
824,15346
825,15346
825,15365
826,15359
827,15342
828,15345
828,15346
829,15347
830,15344
831,15342
832,15342
832,15359
833,15342
833,15346
834,15341
835,15346
836,15346
837,15341
837,15342
838,15342
839,15407
839,15374
840,15374
840,15408
841,15348
842,15347
843,15376
844,15359
845,15346
846,15348
847,15362
848,15347
849,15341
849,15359
850,15348
850,15342
851,15341
852,15341
852,15406
3441,15408
854,15359
855,15342
856,15341
856,15359
857,15342
857,15347
858,15346
859,15341
860,15341
860,15345
861,15358
861,15361
9655,15359
9655,15347
863,15359
864,15342
6893,15345
6893,15346
866,15345
866,15355
867,15346
868,15342
869,15347
869,15346
870,15346
870,15349
871,15347
872,15359
872,15350
873,15374
874,15346
875,15354
875,15344
876,15341
877,15347
877,15341
878,15342
878,15350
879,15342
879,15345
880,15342
880,15359
881,15342
882,15346
883,15409
883,15347
884,15347
885,15341
885,15406
886,15346
887,15385
887,15344
888,15362
888,15410
889,15347
889,15346
890,15374
890,15351
891,15341
891,15350
892,15346
892,15344
893,15341
893,15406
12101,15362
895,15341
895,15346
896,15358
896,15361
897,15411
897,15342
898,15345
898,15412
899,15345
899,15356
900,15345
900,15366
901,15358
901,15361
902,15362
902,15345
903,15345
903,15362
904,15345
905,15413
905,15345
15072,15395
15072,15354
907,15345
1559,15358
1559,15361
909,15358
909,15361
910,15358
910,15345
911,15345
911,15412
912,15358
912,15361
913,15358
913,15361
914,15371
914,15352
915,15363
915,15414
916,15354
916,15345
917,15345
918,15365
918,15361
919,15345
920,15412
921,15379
922,15415
923,15360
924,15415
7570,15379
926,15342
927,15345
928,15374
928,15341
929,15350
929,15357
930,15341
931,15345
931,15352
932,15393
933,15342
934,15342
935,15342
936,15341
937,15341
938,15342
939,15342
940,15341
941,15341
942,15342
943,15341
944,15342
945,15341
4281,15342
947,15341
948,15342
949,15356
950,15342
951,15342
952,15341
953,15341
954,15342
955,15342
956,15342
957,15342
958,15342
959,15342
960,15341
961,15384
961,15356
962,15342
963,15351
963,15342
964,15342
964,15341
965,15341
966,15342
967,15342
15231,15342
969,15341
970,15342
971,15342
972,15358
972,15341
973,15342
974,15348
975,15342
976,15342
976,15341
977,15342
978,15341
979,15342
980,15341
981,15342
982,15348
3135,15362
984,15342
985,15341
986,15341
986,15365
987,15374
987,15348
4231,15341
989,15342
4761,15342
991,15342
992,15348
993,15342
5437,15342
995,15341
995,15342
996,15342
997,15342
998,15342
999,15362
1000,15341
5324,15342
1002,15341
1003,15342
1003,15341
9237,15351
1005,15342
5066,15342
1007,15356
1008,15342
1009,15342
1010,15342
1011,15342
1012,15341
1013,15342
1013,15341
1014,15342
1015,15342
1016,15342
1017,15341
1018,15342
1018,15416
1019,15342
1020,15342
1021,15342
1022,15342
1023,15341
1023,15342
1024,15342
1025,15342
1026,15342
1027,15341
1028,15342
1029,15341
1030,15342
1031,15342
1032,15342
1033,15356
1034,15342
1035,15342
1036,15341
1447,15348
1038,15342
1039,15342
1040,15341
1041,15342
1042,15341
1043,15342
1044,15342
1045,15342
1046,15341
1047,15342
1048,15342
10689,15342
1050,15342
1051,15342
1052,15342
1053,15342
1054,15342
1054,15351
1055,15342
1056,15342
1057,15342
1058,15342
1059,15342
5633,15342
1061,15342
1062,15362
1062,15356
5593,15342
1064,15342
1065,15341
1066,15342
1067,15342
1183,15341
1069,15342
1070,15342
1071,15341
1071,15342
1072,15416
1073,15416
1074,15342
1074,15341
1075,15342
1076,15342
1077,15342
1078,15342
1079,15342
1080,15342
1081,15356
1082,15348
1083,15356
1084,15342
1085,15342
9713,15342
1087,15342
1088,15342
1089,15342
1090,15342
1091,15342
1092,15341
1093,15342
1094,15342
1095,15341
1095,15342
14431,15342
4817,15342
1098,15342
1099,15342
1100,15341
1101,15342
1102,15342
9569,15342
1104,15341
1105,15342
2903,15348
1107,15341
1107,15342
1108,15342
1109,15342
1110,15341
5314,15341
1112,15341
1113,15341
1114,15342
1115,15342
1116,15342
1117,15342
1118,15342
1118,15341
1119,15342
1120,15342
1121,15342
1122,15342
12012,15342
1124,15342
1125,15342
1126,15342
1127,15342
1127,15341
1128,15413
1129,15342
1130,15342
1131,15342
1131,15341
1132,15341
1133,15365
13314,15342
1135,15341
1135,15342
1136,15341
1136,15358
1137,15342
1138,15342
3476,15341
3476,15342
1140,15341
1141,15342
8921,15342
1143,15348
1143,15354
1144,15342
1145,15342
1146,15341
1147,15342
1148,15342
1148,15341
1149,15342
1149,15341
1150,15342
1150,15374
1151,15342
1152,15342
1153,15416
1154,15342
1155,15342
1156,15342
1157,15342
1157,15341
1158,15341
1159,15341
1160,15341
1161,15342
1162,15342
1163,15342
1164,15342
1165,15342
1166,15342
1166,15341
1167,15341
1168,15341
1169,15342
1169,15356
1170,15342
1171,15342
1172,15342
1173,15341
1174,15342
1175,15341
1175,15342
11726,15362
1177,15342
1178,15341
1179,15342
4182,15342
1181,15342
1182,15341
1183,15342
10689,15342
1185,15342
1186,15342
1187,15342
1188,15341
4392,15341
4392,15342
1190,15342
1191,15341
1192,15341
1193,15342
1194,15371
1195,15407
1196,15341
1197,15341
1197,15342
1198,15342
1199,15342
1200,15342
1201,15341
1201,15342
1202,15342
1202,15341
1203,15342
1204,15342
1204,15341
1205,15342
1206,15342
1207,15348
1208,15362
1208,15341
1209,15342
1210,15348
1211,15342
1212,15342
1212,15341
1213,15342
1214,15342
1215,15345
1216,15341
1217,15342
3253,15341
3253,15342
1219,15342
1219,15351
1220,15342
1221,15342
1222,15342
1223,15351
1224,15342
1225,15342
1226,15341
1227,15342
1228,15341
1228,15342
1229,15391
1229,15356
1230,15342
1231,15342
1232,15341
1233,15342
1234,15342
1235,15341
1236,15342
1237,15342
1238,15342
1239,15342
5610,15342
1241,15342
1242,15342
1243,15342
1244,15342
1244,15356
1245,15342
1246,15342
1247,15342
1577,15342
1249,15341
1250,15342
2132,15356
2132,15362
1252,15342
1253,15342
1253,15341
1254,15341
1255,15342
1256,15342
1257,15342
1258,15342
1259,15342
1260,15341
1261,15342
1261,15341
1262,15374
1263,15342
1263,15341
1264,15342
1265,15342
1266,15342
1267,15341
5761,15342
1269,15342
1270,15348
5484,15342
1272,15341
1272,15342
1273,15341
1273,15342
1274,15342
1275,15341
1276,15342
1277,15348
1278,15342
1279,15342
1280,15342
1281,15342
1282,15342
1283,15342
1284,15352
1285,15356
1286,15356
1287,15342
1288,15358
1289,15341
1290,15351
1290,15342
1291,15342
1292,15342
1293,15342
1294,15342
1295,15358
1295,15361
1296,15341
1297,15342
1298,15342
1299,15341
1299,15355
1300,15341
1301,15342
1302,15342
5473,15342
1304,15341
1304,15342
1305,15342
1306,15342
1307,15342
1307,15341
1308,15341
1309,15341
1310,15341
1310,15342
1311,15342
1312,15342
1313,15342
1314,15342
1315,15342
1316,15358
1317,15348
1317,15342
1318,15342
4328,15342
1320,15342
1321,15341
1322,15342
4710,15342
1324,15342
1325,15341
1325,15391
1326,15342
1327,15342
1328,15342
4558,15342
4558,15416
1330,15342
1331,15342
1332,15341
1333,15374
1334,15342
1335,15342
1336,15341
1337,15342
1338,15342
1339,15342
1340,15342
1341,15341
1342,15342
1343,15342
1344,15342
1345,15356
1346,15342
1347,15342
1348,15342
1349,15341
1350,15342
1351,15342
1352,15342
1353,15342
1354,15342
1355,15342
1356,15342
1357,15342
1358,15341
1358,15342
1359,15341
1360,15342
1361,15362
1361,15342
1362,15342
1363,15342
1364,15342
1365,15342
1366,15342
5547,15342
1368,15348
1369,15341
1370,15341
1371,15342
1372,15342
1373,15342
1373,15341
1374,15341
1375,15342
1376,15342
1377,15342
1378,15341
1379,15374
1380,15342
1381,15348
1382,15342
1383,15342
1384,15341
5540,15341
5540,15342
1386,15342
1387,15341
1387,15342
1388,15342
1389,15341
1390,15341
1391,15342
1392,15342
1393,15348
1394,15342
1395,15342
1396,15342
1396,15341
1397,15342
1398,15342
1399,15342
1400,15342
1401,15342
1402,15341
1403,15342
1404,15342
1405,15342
1406,15342
1407,15342
1408,15342
1409,15342
1410,15342
1410,15351
1411,15348
1412,15342
1413,15342
5630,15342
5761,15342
5761,15341
1416,15342
1417,15341
1418,15342
1419,15342
1420,15342
1421,15342
1422,15342
1423,15342
1424,15342
1425,15342
1426,15342
1427,15341
9265,15341
1429,15341
1430,15342
1430,15417
1431,15342
1432,15342
1433,15342
1434,15342
1435,15342
1436,15342
1437,15342
1438,15342
1439,15371
1439,15345
1440,15345
1440,15362
1441,15345
1442,15358
1443,15358
1444,15357
1445,15358
1446,15418
1447,15354
1448,15354
1449,15358
1450,15354
1451,15358
1452,15375
1453,15354
1454,15358
1455,15361
1455,15358
1456,15358
1457,15399
1458,15358
1459,15361
1460,15358
1461,15358
1462,15358
1462,15375
1463,15362
1464,15357
1465,15358
1466,15362
1466,15376
1467,15358
1468,15362
1469,15358
1470,15358
1471,15358
1472,15358
1473,15361
1474,15358
1475,15358
1476,15358
1477,15354
1478,15354
1479,15358
1480,15357
1481,15399
1482,15358
1483,15358
1484,15354
1485,15358
1485,15361
1486,15358
1487,15362
1488,15358
1489,15375
1490,15358
1491,15354
1492,15354
1493,15358
1494,15354
1494,15345
8296,15358
1496,15354
1497,15358
1498,15358
1499,15358
1500,15354
1501,15358
1502,15361
1503,15358
1504,15354
1505,15358
1506,15354
1507,15358
1508,15358
1509,15418
1510,15358
1511,15354
1512,15362
1513,15358
1514,15361
1515,15358
1516,15419
1517,15354
1518,15354
1519,15358
1520,15358
1521,15358
1522,15358
1523,15358
1524,15358
1525,15358
8281,15361
1527,15358
1528,15399
1529,15358
1530,15420
1531,15358
1532,15358
1533,15358
1534,15354
1535,15399
1536,15375
1536,15358
1537,15361
1538,15418
1539,15362
1540,15419
1541,15358
1542,15358
1543,15358
1544,15358
1545,15361
1546,15362
1547,15358
1548,15362
1549,15362
1550,15358
1551,15418
1552,15358
1553,15358
1554,15358
1555,15358
1556,15358
1557,15358
1558,15358
1559,15358
1560,15358
1561,15358
1562,15358
1563,15358
1564,15358
1565,15358
1566,15358
1567,15358
1568,15358
1569,15399
1570,15345
1571,15375
1571,15358
1572,15357
1573,15361
1574,15358
1575,15358
1576,15378
1577,15359
1578,15353
1579,15421
1580,15360
1581,15354
8065,15404
1583,15360
1584,15422
12986,15361
1586,15360
1587,15423
1588,15359
5141,15414
1590,15359
1591,15359
1592,15383
1593,15383
1594,15424
1595,15423
1596,15358
1597,15357
1598,15418
1599,15360
1600,15362
1601,15360
1602,15360
1603,15360
4356,15354
1605,15373
1606,15357
1607,15360
1608,15425
7570,15360
1610,15360
1611,15360
1612,15360
1613,15353
1613,15426
1614,15383
1615,15361
1616,15362
1617,15358
7574,15402
1619,15358
1620,15362
7320,15360
1622,15360
9284,15360
1624,15425
1625,15360
1626,15351
1627,15360
5547,15359
1629,15358
1630,15359
1631,15364
1632,15361
1633,15396
1634,15360
1635,15362
1636,15363
1637,15359
1638,15357
1639,15399
1640,15363
1641,15345
1642,15358
1643,15363
1644,15376
1645,15345
1645,15427
1646,15361
1647,15354
8281,15361
1649,15345
1650,15345
1651,15357
1652,15345
1653,15399
1654,15371
1655,15388
1655,15391
1656,15345
1657,15345
1658,15359
1659,15363
1660,15361
1661,15345
1661,15363
1662,15345
1663,15363
1664,15345
1664,15343
1665,15354
13948,15358
1667,15427
1668,15356
1669,15345
1669,15342
1670,15358
1671,15345
1672,15341
1673,15341
8971,15342
1675,15341
1676,15342
1677,15358
1677,15341
1678,15341
1679,15341
1679,15352
1680,15358
1681,15345
1682,15342
1683,15345
1684,15345
1685,15380
1685,15341
1686,15341
1687,15359
1688,15342
1689,15342
1690,15341
1691,15342
1691,15345
1692,15356
1693,15342
1694,15345
1694,15342
1695,15342
1696,15342
1697,15342
1698,15342
1699,15341
1700,15345
1701,15342
1702,15342
1703,15358
1703,15365
1704,15341
1704,15359
1705,15391
1706,15350
1706,15342
1707,15342
1707,15350
1708,15341
1709,15341
1709,15350
1710,15341
1710,15350
2186,15341
2186,15352
1712,15342
1712,15357
1713,15341
1713,15350
1714,15342
1714,15350
1715,15341
1715,15350
1716,15341
1716,15350
1717,15341
1717,15350
1718,15348
1719,15341
1719,15350
13857,15350
13857,15352
1721,15341
1722,15342
1722,15341
1723,15341
1723,15350
1724,15341
1724,15342
1725,15341
1726,15341
1726,15342
1727,15345
1727,15374
1728,15350
1728,15341
1729,15341
1729,15354
1730,15341
1730,15368
1731,15354
1732,15345
1733,15341
1733,15352
1734,15346
1735,15342
1735,15349
1736,15342
1736,15352
1737,15342
1738,15342
1738,15350
1739,15342
1739,15350
1740,15349
1740,15341
3510,15341
3510,15349
1742,15342
1742,15349
1743,15391
1743,15341
1744,15341
1745,15350
1745,15342
1746,15341
1746,15350
1747,15342
1747,15341
1748,15350
1748,15342
1749,15381
1749,15348
1750,15348
1751,15341
1751,15382
1752,15348
1753,15391
1753,15350
1754,15345
1754,15357
1755,15348
1755,15374
1756,15348
1757,15342
1758,15342
1758,15428
1759,15341
1759,15348
1760,15345
1760,15341
1761,15342
1761,15352
1762,15345
1762,15354
1763,15341
1764,15352
1764,15357
1765,15341
1766,15342
1766,15341
1767,15356
1768,15342
1769,15342
1769,15345
1770,15342
1771,15342
1772,15354
1773,15345
1773,15384
1774,15345
1774,15356
1775,15342
1775,15345
1776,15342
1777,15342
1778,15342
1778,15386
1779,15368
1779,15342
1780,15362
1781,15342
1782,15342
1783,15342
1784,15342
1785,15408
1786,15342
1787,15342
1788,15342
1789,15345
1790,15349
1791,15342
1792,15342
1793,15342
1794,15362
1795,15342
1795,15429
1796,15342
4193,15374
1798,15342
1799,15358
1800,15360
1801,15342
1802,15356
1803,15342
1804,15374
1805,15342
1806,15355
1807,15354
1807,15416
1808,15424
1808,15349
2138,15354
2138,15348
4879,15362
1811,15350
1811,15352
1812,15358
1812,15366
1813,15349
1813,15414
1814,15371
1815,15342
1815,15350
1816,15346
1816,15342
1817,15362
1818,15344
1819,15342
1819,15365
1820,15350
1820,15348
1821,15374
1821,15349
1822,15344
1823,15342
1823,15361
1824,15345
1824,15348
1825,15345
1826,15349
1827,15374
1827,15355
1828,15385
1828,15356
1829,15349
1830,15385
1830,15355
1831,15356
1831,15348
1832,15355
1833,15349
1833,15356
1834,15350
1834,15355
1835,15342
1835,15355
1836,15355
1836,15350
1837,15344
1837,15355
1838,15349
1838,15350
1839,15350
1839,15349
1840,15349
1840,15368
1841,15355
1841,15350
1842,15358
1843,15345
1844,15342
1844,15341
1845,15382
1845,15342
1846,15362
1846,15356
1847,15385
1847,15355
1848,15348
1849,15349
1849,15355
1850,15350
1850,15352
1851,15350
1851,15356
9705,15355
9705,15385
1853,15385
1853,15356
1854,15349
1854,15342
1855,15385
1855,15348
1856,15365
1856,15341
1857,15349
1857,15408
1858,15350
1858,15352
1859,15342
1860,15428
1860,15349
1861,15342
1862,15344
1862,15349
1863,15349
1863,15342
1864,15348
1864,15345
1865,15342
1865,15341
1866,15355
1866,15349
1867,15354
1867,15349
1868,15352
1868,15342
1869,15350
1869,15348
1870,15342
1870,15350
1871,15342
1871,15345
1872,15350
1872,15355
1873,15362
1874,15362
1874,15430
1875,15382
1876,15348
1876,15374
1877,15362
1878,15362
1878,15356
1879,15348
1880,15408
1880,15393
1881,15343
1881,15413
4343,15366
4343,15399
1883,15343
1883,15365
1884,15348
1884,15349
1885,15352
1885,15350
1886,15355
1887,15385
1887,15348
1888,15349
1888,15350
